state;action_reward;n_state
22&5|358&1|181&4|655&5|300&5|261&2|873&4|332&5|11&5|321&5|136&4|272&5;346&1|330&3|322&5|315&4;22&5|358&1|181&4|655&5|300&5|261&2|873&4|332&5|11&5|321&5|136&4|272&5|346&1|330&3|322&5|315&4
286&4|423&5|514&5|223&4|111&4|28&5|321&5|275&4|276&4|318&4|638&4|47&4;199&4|116&4|528&4|216&4;286&4|423&5|514&5|223&4|111&4|28&5|321&5|275&4|276&4|318&4|638&4|47&4|199&4|116&4|528&4|216&4
235&5|477&4|151&4|405&5|100&5|181&4|147&5|50&5|866&4|928&3|274&3|288&4;284&1|476&4|472&4|925&4;235&5|477&4|151&4|405&5|100&5|181&4|147&5|50&5|866&4|928&3|274&3|288&4|284&1|476&4|472&4|925&4
1061&2|150&5|100&5|1129&3|15&3|13&4|515&3|547&4|137&5|1017&4|1014&3|676&4;740&4|221&4|286&5|275&4;1061&2|150&5|100&5|1129&3|15&3|13&4|515&3|547&4|137&5|1017&4|1014&3|676&4|740&4|221&4|286&5|275&4
528&4|228&3|303&3|357&2|64&3|1025&3|443&1|596&3|215&5|462&4|69&3|310&3;127&4|257&5|455&3|117&4;528&4|228&3|303&3|357&2|64&3|1025&3|443&1|596&3|215&5|462&4|69&3|310&3|127&4|257&5|455&3|117&4
482&3|127&5|963&5|174&4|188&3|340&3|28&3|428&4|479&5|301&3|483&4|307&4;628&2|50&3|237&4|508&5;482&3|127&5|963&5|174&4|188&3|340&3|28&3|428&4|479&5|301&3|483&4|307&4|628&2|50&3|237&4|508&5
324&4|288&2|187&5|878&1|523&5|69&3|1500&5|191&4|322&2|215&3|258&2|205&5;210&4|64&4|50&5|181&5;324&4|288&2|187&5|878&1|523&5|69&3|1500&5|191&4|322&2|215&3|258&2|205&5|210&4|64&4|50&5|181&5
96&4|33&4|132&3|496&1|561&5|195&4|417&1|652&5|174&4|158&2|380&2|378&1;1473&3|1614&3|532&5|1133&3;96&4|33&4|132&3|496&1|561&5|195&4|417&1|652&5|174&4|158&2|380&2|378&1|1473&3|1614&3|532&5|1133&3
242&4|615&4|521&4|294&4|690&1|276&4|507&4|527&3|50&5|479&4|340&4|402&4;487&5|286&5|385&5|483&5;242&4|615&4|521&4|294&4|690&1|276&4|507&4|527&3|50&5|479&4|340&4|402&4|487&5|286&5|385&5|483&5
62&4|204&4|159&4|837&5|612&5|70&4|768&4|582&3|1224&4|7&4|192&5|54&3;110&3|422&1|99&3|125&4;62&4|204&4|159&4|837&5|612&5|70&4|768&4|582&3|1224&4|7&4|192&5|54&3|110&3|422&1|99&3|125&4
896&4|310&2|1295&3|272&3|308&2|305&4|327&2|874&3|302&4|319&2|333&1|245&3;326&3|337&2|689&2|312&1;896&4|310&2|1295&3|272&3|308&2|305&4|327&2|874&3|302&4|319&2|333&1|245&3|326&3|337&2|689&2|312&1
231&5|204&5|134&5|2&4|180&5|684&4|391&3|233&4|720&3|42&5|201&4|580&5;150&4|691&4|14&4|1016&3;231&5|204&5|134&5|2&4|180&5|684&4|391&3|233&4|720&3|42&5|201&4|580&5|150&4|691&4|14&4|1016&3
56&5|23&4|969&3|427&4|70&4|651&4|193&4|186&5|288&4|202&3|92&3|114&4;431&4|208&4|276&5|436&4;56&5|23&4|969&3|427&4|70&4|651&4|193&4|186&5|288&4|202&3|92&3|114&4|431&4|208&4|276&5|436&4
107&1|117&5|934&3|975&4|125&4|323&3|815&3|294&4|300&5|279&2|328&4|111&2;410&4|151&2|7&2|293&4;107&1|117&5|934&3|975&4|125&4|323&3|815&3|294&4|300&5|279&2|328&4|111&2|410&4|151&2|7&2|293&4
678&2|127&3|265&4|568&4|216&2|325&2|50&1|323&2|174&1|357&5|22&2|322&3;258&5|187&2|182&5|510&3;678&2|127&3|265&4|568&4|216&2|325&2|50&1|323&2|174&1|357&5|22&2|322&3|258&5|187&2|182&5|510&3
172&5|879&4|237&3|204&5|7&4|71&2|239&4|732&5|746&4|168&4|25&3|173&5;560&4|234&4|143&4|427&5;172&5|879&4|237&3|204&5|7&4|71&2|239&4|732&5|746&4|168&4|25&3|173&5|560&4|234&4|143&4|427&5
50&4|64&5|176&3|220&5|214&2|535&4|487&4|100&4|204&4|195&3|60&5|660&3;333&3|1136&4|88&4|470&3;50&4|64&5|176&3|220&5|214&2|535&4|487&4|100&4|204&4|195&3|60&5|660&3|333&3|1136&4|88&4|470&3
213&5|185&4|91&4|23&4|489&5|127&5|144&4|307&3|118&2|303&4|229&3|128&4;1047&3|373&4|50&4|155&1;213&5|185&4|91&4|23&4|489&5|127&5|144&4|307&3|118&2|303&4|229&3|128&4|1047&3|373&4|50&4|155&1
546&4|756&5|222&5|252&3|680&2|890&2|471&5|1028&5|283&5|1054&4|9&5|15&5;106&3|1277&5|424&3|818&3;546&4|756&5|222&5|252&3|680&2|890&2|471&5|1028&5|283&5|1054&4|9&5|15&5|106&3|1277&5|424&3|818&3
90&4|697&4|357&4|399&3|109&4|187&4|343&5|271&4|229&2|173&5|258&4|684&4;841&2|977&2|105&3|685&2;90&4|697&4|357&4|399&3|109&4|187&4|343&5|271&4|229&2|173&5|258&4|684&4|841&2|977&2|105&3|685&2
9&4|286&4|111&5|301&3|1&3|294&5|346&4|690&4|269&5|7&3|922&4|873&3;151&4|109&1|117&4|628&3;9&4|286&4|111&5|301&3|1&3|294&5|346&4|690&4|269&5|7&3|922&4|873&3|151&4|109&1|117&4|628&3
258&4|333&1|292&1|327&4|680&1|266&1|948&1|288&3|324&4|264&1|682&3|748&2;243&1|358&1|923&5|678&1;258&4|333&1|292&1|327&4|680&1|266&1|948&1|288&3|324&4|264&1|682&3|748&2|243&1|358&1|923&5|678&1
303&5|328&4|322&2|286&4|751&5|258&4|271&4|300&2|346&4|313&4|288&5|690&3;1105&1|875&1|887&4|245&4;303&5|328&4|322&2|286&4|751&5|258&4|271&4|300&2|346&4|313&4|288&5|690&3|1105&1|875&1|887&4|245&4
542&1|26&5|197&5|209&5|205&5|603&5|22&5|56&5|2&3|11&4|176&3|806&5;527&3|23&5|64&5|654&5;542&1|26&5|197&5|209&5|205&5|603&5|22&5|56&5|2&3|11&4|176&3|806&5|527&3|23&5|64&5|654&5
151&4|756&3|273&4|122&3|1093&5|276&4|147&3|1052&3|412&1|123&4|235&3|240&5;117&5|1047&3|24&4|833&4;151&4|756&3|273&4|122&3|1093&5|276&4|147&3|1052&3|412&1|123&4|235&3|240&5|117&5|1047&3|24&4|833&4
490&3|202&3|466&4|517&2|124&4|515&2|435&5|924&4|148&3|502&1|638&4|289&3;188&4|727&3|521&3|945&3;490&3|202&3|466&4|517&2|124&4|515&2|435&5|924&4|148&3|502&1|638&4|289&3|188&4|727&3|521&3|945&3
269&4|183&5|659&4|318&3|98&4|507&3|357&4|176&5|485&3|56&3|172&5|197&4;210&3|156&4|522&5|195&4;269&4|183&5|659&4|318&3|98&4|507&3|357&4|176&5|485&3|56&3|172&5|197&4|210&3|156&4|522&5|195&4
210&3|195&4|276&1|4&3|174&4|144&4|318&5|183&4|11&4|223&4|317&4|692&3;216&4|121&3|143&3|237&4;210&3|195&4|276&1|4&3|174&4|144&4|318&5|183&4|11&4|223&4|317&4|692&3|216&4|121&3|143&3|237&4
495&4|417&3|496&5|31&3|603&4|172&5|655&4|8&3|276&4|95&5|64&4|2&3;227&2|153&4|229&3|230&3;495&4|417&3|496&5|31&3|603&4|172&5|655&4|8&3|276&4|95&5|64&4|2&3|227&2|153&4|229&3|230&3
25&2|222&4|237&1|269&3|538&4|761&5|823&2|755&3|1016&1|284&2|328&3|117&4;740&4|50&5|258&5|748&4;25&2|222&4|237&1|269&3|538&4|761&5|823&2|755&3|1016&1|284&2|328&3|117&4|740&4|50&5|258&5|748&4
1077&4|1376&3|939&4|48&5|470&3|147&4|219&4|597&3|124&5|50&5|202&4|772&4;395&3|155&3|783&2|571&2;1077&4|1376&3|939&4|48&5|470&3|147&4|219&4|597&3|124&5|50&5|202&4|772&4|395&3|155&3|783&2|571&2
106&4|238&5|70&1|217&4|444&5|430&3|489&3|653&4|78&3|589&5|205&5|286&4;258&4|560&3|559&5|577&2;106&4|238&5|70&1|217&4|444&5|430&3|489&3|653&4|78&3|589&5|205&5|286&4|258&4|560&3|559&5|577&2
255&5|172&5|1035&4|167&4|304&2|403&4|118&4|233&4|476&3|254&3|401&4|70&4;862&1|781&4|153&4|181&4;255&5|172&5|1035&4|167&4|304&2|403&4|118&4|233&4|476&3|254&3|401&4|70&4|862&1|781&4|153&4|181&4
731&4|722&5|294&4|451&5|778&4|274&5|237&4|1051&5|36&4|49&5|275&5|781&4;15&4|20&4|846&4|282&4;731&4|722&5|294&4|451&5|778&4|274&5|237&4|1051&5|36&4|49&5|275&5|781&4|15&4|20&4|846&4|282&4
300&2|4&4|33&3|805&4|108&3|100&4|72&2|274&2|169&2|672&2|81&4|219&4;2&2|849&2|190&4|69&2;300&2|4&4|33&3|805&4|108&3|100&4|72&2|274&2|169&2|672&2|81&4|219&4|2&2|849&2|190&4|69&2
237&3|282&3|751&3|124&4|319&2|333&3|321&4|150&4|129&4|301&4|326&3|258&3;475&3|717&1|871&2|1051&2;237&3|282&3|751&3|124&4|319&2|333&3|321&4|150&4|129&4|301&4|326&3|258&3|475&3|717&1|871&2|1051&2
678&4|326&5|300&3|301&2|302&2|315&3|879&4|339&2|539&4|748&5|269&3|294&4;15&5|338&4|1&5|508&3;678&4|326&5|300&3|301&2|302&2|315&3|879&4|339&2|539&4|748&5|269&3|294&4|15&5|338&4|1&5|508&3
323&4|258&4|288&4|260&4|892&3|347&3|305&4|342&1|259&4|264&4|905&3|350&3;879&1|880&3|688&3|876&2;323&4|258&4|288&4|260&4|892&3|347&3|305&4|342&1|259&4|264&4|905&3|350&3|879&1|880&3|688&3|876&2
269&5|344&1|874&5|272&4|333&4|1395&4|306&4|303&5|749&4|362&3|288&3|324&4;886&4|1105&2|349&3|752&4;269&5|344&1|874&5|272&4|333&4|1395&4|306&4|303&5|749&4|362&3|288&3|324&4|886&4|1105&2|349&3|752&4
322&4|546&2|678&4|289&3|116&4|323&3|471&4|1355&4|742&4|237&4|287&4|25&4;15&4|871&2|285&4|117&4;322&4|546&2|678&4|289&3|116&4|323&3|471&4|1355&4|742&4|237&4|287&4|25&4|15&4|871&2|285&4|117&4
900&3|319&4|270&4|294&4|307&2|333&4|258&4|345&3|313&4|300&3|272&2|301&3;288&5|937&5|748&5|347&4;900&3|319&4|270&4|294&4|307&2|333&4|258&4|345&3|313&4|300&3|272&2|301&3|288&5|937&5|748&5|347&4
472&3|118&4|237&4|276&5|15&4|288&3|762&4|282&4|473&3|823&4|1060&3|225&4;756&2|826&3|1001&3|926&3;472&3|118&4|237&4|276&5|15&4|288&3|762&4|282&4|473&3|823&4|1060&3|225&4|756&2|826&3|1001&3|926&3
99&3|304&5|418&5|633&4|185&4|432&4|498&5|134&4|202&4|11&4|234&4|265&5;10&3|402&5|582&4|628&3;99&3|304&5|418&5|633&4|185&4|432&4|498&5|134&4|202&4|11&4|234&4|265&5|10&3|402&5|582&4|628&3
333&4|95&4|358&3|91&3|902&4|751&3|206&3|169&4|1110&4|588&2|101&2|1240&3;25&3|926&2|111&4|410&1;333&4|95&4|358&3|91&3|902&4|751&3|206&3|169&4|1110&4|588&2|101&2|1240&3|25&3|926&2|111&4|410&1
321&3|56&3|168&2|1012&1|328&4|100&4|194&4|249&3|238&4|287&3|1047&2|211&4;1054&3|763&3|1023&2|1040&2;321&3|56&3|168&2|1012&1|328&4|100&4|194&4|249&3|238&4|287&3|1047&2|211&4|1054&3|763&3|1023&2|1040&2
813&3|19&4|242&5|287&4|297&4|100&5|137&1|251&5|248&3|9&5|127&4|285&5;302&5|313&5|276&5|750&5;813&3|19&4|242&5|287&4|297&4|100&5|137&1|251&5|248&3|9&5|127&4|285&5|302&5|313&5|276&5|750&5
845&4|1&5|118&3|151&1|121&3|125&1|276&2|15&5|14&4|283&4|222&4|476&4;235&4|934&3|412&2|820&3;845&4|1&5|118&3|151&1|121&3|125&1|276&2|15&5|14&4|283&4|222&4|476&4|235&4|934&3|412&2|820&3
294&2|185&4|58&3|214&2|285&4|655&4|468&3|77&3|293&3|456&1|254&1|237&2;23&3|532&3|274&3|88&3;294&2|185&4|58&3|214&2|285&4|655&4|468&3|77&3|293&3|456&1|254&1|237&2|23&3|532&3|274&3|88&3
354&4|887&3|321&3|258&4|311&4|301&4|272&3|242&4|333&4|1024&3|303&3|304&4;307&2|896&2|305&2|344&2;354&4|887&3|321&3|258&4|311&4|301&4|272&3|242&4|333&4|1024&3|303&3|304&4|307&2|896&2|305&2|344&2
969&5|480&5|202&4|318&5|485&5|568&5|566&5|705&5|82&5|204&5|132&5|659&4;22&5|69&5|95&5|168&5;969&5|480&5|202&4|318&5|485&5|568&5|566&5|705&5|82&5|204&5|132&5|659&4|22&5|69&5|95&5|168&5
513&4|661&4|715&5|724&4|197&5|429&3|792&3|464&5|69&2|214&2|239&4|427&3;570&3|737&4|403&4|1119&3;513&4|661&4|715&5|724&4|197&5|429&3|792&3|464&5|69&2|214&2|239&4|427&3|570&3|737&4|403&4|1119&3
300&3|327&4|259&4|338&1|242&4|881&2|286&3|872&3|888&4|269&4|328&2|326&3;270&5|889&5|683&5|1176&5;300&3|327&4|259&4|338&1|242&4|881&2|286&3|872&3|888&4|269&4|328&2|326&3|270&5|889&5|683&5|1176&5
118&4|237&3|476&4|1&4|235&3|597&2|1093&3|685&3|13&4|121&4|269&5|111&5;120&1|831&1|934&4|1312&2;118&4|237&3|476&4|1&4|235&3|597&2|1093&3|685&3|13&4|121&4|269&5|111&5|120&1|831&1|934&4|1312&2
294&4|295&4|286&4|678&1|949&5|69&5|176&4|117&2|293&3|483&5|301&3|269&4;223&5|462&5|831&1|333&4;294&4|295&4|286&4|678&1|949&5|69&5|176&4|117&2|293&3|483&5|301&3|269&4|223&5|462&5|831&1|333&4
532&3|458&2|744&3|117&3|127&4|1115&3|301&3|137&5|285&4|297&3|13&3|302&4;306&4|19&5|515&5|20&4;532&3|458&2|744&3|117&3|127&4|1115&3|301&3|137&5|285&4|297&3|13&3|302&4|306&4|19&5|515&5|20&4
81&3|209&3|660&2|229&4|941&4|173&4|721&4|122&3|4&3|97&4|239&3|708&3;71&5|15&4|720&4|1231&2;81&3|209&3|660&2|229&4|941&4|173&4|721&4|122&3|4&3|97&4|239&3|708&3|71&5|15&4|720&4|1231&2
234&5|38&5|588&5|633&5|172&5|174&5|288&5|928&5|406&4|421&5|568&4|427&4;15&5|197&5|207&5|133&5;234&5|38&5|588&5|633&5|172&5|174&5|288&5|928&5|406&4|421&5|568&4|427&4|15&5|197&5|207&5|133&5
165&3|268&4|213&4|640&1|179&5|638&4|463&5|475&4|322&3|923&3|212&4|86&3;510&5|582&5|381&5|736&3;165&3|268&4|213&4|640&1|179&5|638&4|463&5|475&4|322&3|923&3|212&4|86&3|510&5|582&5|381&5|736&3
300&5|323&5|258&5|301&5|690&5|308&4|289&2|292&3|321&3|307&4|286&5|294&4;901&4|678&5|748&3|315&4;300&5|323&5|258&5|301&5|690&5|308&4|289&2|292&3|321&3|307&4|286&5|294&4|901&4|678&5|748&3|315&4
1&4|333&1|24&3|181&4|125&5|323&4|682&2|100&1|471&4|258&4|117&4|628&4;410&4|7&3|148&4|756&4;1&4|333&1|24&3|181&4|125&5|323&4|682&2|100&1|471&4|258&4|117&4|628&4|410&4|7&3|148&4|756&4
508&4|24&3|475&4|699&3|13&4|89&4|174&5|181&3|216&5|5&3|662&4|321&3;372&2|357&5|226&2|161&3;508&4|24&3|475&4|699&3|13&4|89&4|174&5|181&3|216&5|5&3|662&4|321&3|372&2|357&5|226&2|161&3
321&5|504&4|81&4|180&5|100&4|435&4|213&5|345&2|315&5|660&4|340&5|137&5;58&4|639&4|285&5|475&2;321&5|504&4|81&4|180&5|100&4|435&4|213&5|345&2|315&5|660&4|340&5|137&5|58&4|639&4|285&5|475&2
319&5|410&4|546&3|120&4|50&5|236&5|248&4|249&4|252&5|150&4|302&3|269&5;89&4|87&4|489&5|480&4;319&5|410&4|546&3|120&4|50&5|236&5|248&4|249&4|252&5|150&4|302&3|269&5|89&4|87&4|489&5|480&4
168&4|209&5|4&3|39&2|642&3|466&4|33&4|173&3|23&4|176&5|47&4|12&5;789&3|5&3|504&3|8&3;168&4|209&5|4&3|39&2|642&3|466&4|33&4|173&3|23&4|176&5|47&4|12&5|789&3|5&3|504&3|8&3
245&4|301&4|328&4|321&3|748&4|346&3|269&4|286&3|313&5|258&2|881&3|288&3;298&4|50&4|295&3|127&4;245&4|301&4|328&4|321&3|748&4|346&3|269&4|286&3|313&5|258&2|881&3|288&3|298&4|50&4|295&3|127&4
134&4|255&4|631&4|88&4|147&4|22&5|496&4|1047&4|291&3|71&4|77&4|136&5;604&4|1263&3|196&4|237&3;134&4|255&4|631&4|88&4|147&4|22&5|496&4|1047&4|291&3|71&4|77&4|136&5|604&4|1263&3|196&4|237&3
182&5|21&1|240&4|463&4|151&4|150&4|825&2|497&4|1&4|410&4|250&4|447&4;770&4|328&3|603&4|1223&4;182&5|21&1|240&4|463&4|151&4|150&4|825&2|497&4|1&4|410&4|250&4|447&4|770&4|328&3|603&4|1223&4
340&5|271&4|342&2|258&1|245&4|288&4|324&1|307&5|902&5|328&3|355&3|313&3;260&3|322&4|678&3|748&2;340&5|271&4|342&2|258&1|245&4|288&4|324&1|307&5|902&5|328&3|355&3|313&3|260&3|322&4|678&3|748&2
125&2|471&4|849&4|685&4|109&3|222&2|742&4|15&3|1&3|477&2|147&3|121&3;473&1|405&2|21&1|926&3;125&2|471&4|849&4|685&4|109&3|222&2|742&4|15&3|1&3|477&2|147&3|121&3|473&1|405&2|21&1|926&3
8&4|286&4|991&1|194&3|1019&3|261&1|322&1|183&4|680&1|988&1|7&5|56&5;223&4|529&4|273&4|652&3;8&4|286&4|991&1|194&3|1019&3|261&1|322&1|183&4|680&1|988&1|7&5|56&5|223&4|529&4|273&4|652&3
808&2|128&4|195&4|12&5|90&3|111&3|1615&1|720&2|209&3|827&3|380&3|234&2;1231&3|384&2|552&2|444&2;808&2|128&4|195&4|12&5|90&3|111&3|1615&1|720&2|209&3|827&3|380&3|234&2|1231&3|384&2|552&2|444&2
321&4|435&5|64&3|98&4|707&5|606&3|134&4|514&5|242&5|962&3|487&3|135&5;275&4|847&4|432&5|50&3;321&4|435&5|64&3|98&4|707&5|606&3|134&4|514&5|242&5|962&3|487&3|135&5|275&4|847&4|432&5|50&3
23&5|324&4|1&4|127&5|183&3|480&5|50&5|265&2|210&4|530&4|616&4|173&4;185&5|98&4|187&5|195&5;23&5|324&4|1&4|127&5|183&3|480&5|50&5|265&2|210&4|530&4|616&4|173&4|185&5|98&4|187&5|195&5
207&4|324&2|174&5|204&5|23&5|699&3|197&5|162&5|423&5|98&5|991&1|117&5;275&5|81&3|202&4|15&5;207&4|324&2|174&5|204&5|23&5|699&3|197&5|162&5|423&5|98&5|991&1|117&5|275&5|81&3|202&4|15&5
311&5|289&3|748&4|259&3|15&3|340&3|879&4|322&3|294&2|326&3|292&3|297&5;9&5|224&5|408&4|298&4;311&5|289&3|748&4|259&3|15&3|340&3|879&4|322&3|294&2|326&3|292&3|297&5|9&5|224&5|408&4|298&4
289&2|286&5|619&2|690&5|283&2|273&3|280&2|544&3|151&5|150&1|93&3|411&1;831&1|1051&2|1011&1|685&3;289&2|286&5|619&2|690&5|283&2|273&3|280&2|544&3|151&5|150&1|93&3|411&1|831&1|1051&2|1011&1|685&3
269&5|258&5|322&1|268&4|328&2|410&1|294&4|340&3|1012&5|298&4|7&4|15&4;125&4|685&2|535&2|121&4;269&5|258&5|322&1|268&4|328&2|410&1|294&4|340&3|1012&5|298&4|7&4|15&4|125&4|685&2|535&2|121&4
895&4|340&4|299&2|358&1|333&4|313&5|872&5|880&5|343&3|948&3|260&4|887&5;1527&4|294&4|322&3|908&4;895&4|340&4|299&2|358&1|333&4|313&5|872&5|880&5|343&3|948&3|260&4|887&5|1527&4|294&4|322&3|908&4
156&4|151&4|100&5|628&5|50&4|568&4|257&4|228&3|15&5|64&5|181&4|7&3;1087&4|546&4|924&3|281&4;156&4|151&4|100&5|628&5|50&4|568&4|257&4|228&3|15&5|64&5|181&4|7&3|1087&4|546&4|924&3|281&4
681&4|1392&4|264&4|324&4|689&4|307&4|360&4|328&4|1429&4|288&5|260&4|358&4;336&4|872&4|271&3|242&4;681&4|1392&4|264&4|324&4|689&4|307&4|360&4|328&4|1429&4|288&5|260&4|358&4|336&4|872&4|271&3|242&4
139&4|708&2|1222&2|742&4|1101&2|241&3|665&2|560&1|226&4|636&1|127&4|436&5;518&4|542&2|200&2|378&4;139&4|708&2|1222&2|742&4|1101&2|241&3|665&2|560&1|226&4|636&1|127&4|436&5|518&4|542&2|200&2|378&4
10&1|849&4|582&3|742&4|283&2|1077&3|1048&4|378&3|144&4|246&4|222&3|237&4;384&2|790&2|552&2|231&4;10&1|849&4|582&3|742&4|283&2|1077&3|1048&4|378&3|144&4|246&4|222&3|237&4|384&2|790&2|552&2|231&4
281&4|1336&3|1046&3|331&3|118&2|79&5|44&5|754&2|291&4|925&5|356&5|269&1;829&4|148&4|177&4|303&3;281&4|1336&3|1046&3|331&3|118&2|79&5|44&5|754&2|291&4|925&5|356&5|269&1|829&4|148&4|177&4|303&3
601&4|423&4|650&3|132&5|131&5|1203&2|837&4|472&3|425&5|211&5|648&4|515&5;73&4|633&4|265&5|387&4;601&4|423&4|650&3|132&5|131&5|1203&2|837&4|472&3|425&5|211&5|648&4|515&5|73&4|633&4|265&5|387&4
900&4|305&4|896&5|1007&4|311&3|750&4|509&5|874&4|286&4|344&4|321&2|463&5;650&5|1101&4|1255&1|223&1;900&4|305&4|896&5|1007&4|311&3|750&4|509&5|874&4|286&4|344&4|321&2|463&5|650&5|1101&4|1255&1|223&1
393&5|596&1|140&5|878&4|8&5|432&1|588&1|99&2|172&4|465&5|946&2|1219&4;94&5|501&3|969&2|71&3;393&5|596&1|140&5|878&4|8&5|432&1|588&1|99&2|172&4|465&5|946&2|1219&4|94&5|501&3|969&2|71&3
11&5|687&2|234&5|363&4|1283&1|1033&1|756&2|796&3|869&4|266&3|258&4|742&4;1002&1|38&3|120&2|449&3;11&5|687&2|234&5|363&4|1283&1|1033&1|756&2|796&3|869&4|266&3|258&4|742&4|1002&1|38&3|120&2|449&3
699&4|739&5|210&3|517&2|294&3|100&3|451&5|849&4|248&3|39&3|399&4|230&5;217&4|54&4|859&2|281&4;699&4|739&5|210&3|517&2|294&3|100&3|451&5|849&4|248&3|39&3|399&4|230&5|217&4|54&4|859&2|281&4
358&2|323&3|332&3|303&4|327&3|322&4|879&3|245&4|269&3|294&5|748&4|286&4;689&3|988&2|538&4|754&3;358&2|323&3|332&3|303&4|327&3|322&4|879&3|245&4|269&3|294&5|748&4|286&4|689&3|988&2|538&4|754&3
423&5|195&5|135&5|7&5|189&4|193&4|115&5|429&4|1&4|192&1|222&5|482&5;197&3|431&3|96&5|133&1;423&5|195&5|135&5|7&5|189&4|193&4|115&5|429&4|1&4|192&1|222&5|482&5|197&3|431&3|96&5|133&1
327&4|1011&2|1&4|273&4|124&5|268&5|257&4|762&3|1017&2|117&2|246&5|150&4;249&3|1059&4|455&3|108&4;327&4|1011&2|1&4|273&4|124&5|268&5|257&4|762&3|1017&2|117&2|246&5|150&4|249&3|1059&4|455&3|108&4
1041&2|29&3|842&3|471&5|288&4|356&4|222&3|22&5|485&5|553&4|125&3|204&5;781&2|386&2|67&1|1219&2;1041&2|29&3|842&3|471&5|288&4|356&4|222&3|22&5|485&5|553&4|125&3|204&5|781&2|386&2|67&1|1219&2
928&4|236&4|50&5|7&5|5&5|300&3|347&5|895&3|346&5|100&3|322&4|181&5;436&5|769&4|672&3|567&4;928&4|236&4|50&5|7&5|5&5|300&3|347&5|895&3|346&5|100&3|322&4|181&5|436&5|769&4|672&3|567&4
268&5|134&4|121&2|125&3|246&5|250&3|431&5|153&5|209&4|357&3|154&5|183&5;69&3|132&3|133&2|28&5;268&5|134&4|121&2|125&3|246&5|250&3|431&5|153&5|209&4|357&3|154&5|183&5|69&3|132&3|133&2|28&5
1393&2|989&3|938&4|334&4|303&2|326&5|258&5|300&3|242&4|879&4|331&5|690&3;319&4|324&3|333&3|286&4;1393&2|989&3|938&4|334&4|303&2|326&5|258&5|300&3|242&4|879&4|331&5|690&3|319&4|324&3|333&3|286&4
