item_id;vectors
10;-0.17716506|0.11628613|-0.05639387|-0.21035069|0.0749339|0.22815888|-0.1698345|-0.029892992|-0.16877992|0.035574265|0.12359777|-0.18702348|-0.14630212|0.176031|-0.064557|-0.14007646|0.067036495|-0.09514971|0.21269082|-0.0779429|0.05298055|0.10604282|0.11693433|0.07562911|-0.12890053|0.16892251|0.03438635|0.17884457|-0.12863557|0.0731404|-0.17785355|-0.058870472|0.18427768|-0.19753885|-0.18223017|-0.10876828|0.06460241|-0.16453044|-0.16851757|0.15811084|-0.1161961|0.11793769|-0.16777487|0.08985415|0.16970983|0.1685752|0.22432849|-0.1446574|-0.118735164|0.1703111|0.059842486|-0.16013765|-0.02495557|-0.13175514|-0.18082444|0.008278992|0.12174341|0.008805942|-0.17455116|-0.15969834|-0.17656378|0.12821424|-0.107657194|-0.12007226|0.13561985|-0.16342002|-0.155802|-0.18547353|-0.15147394|0.14007717|-0.24982807|0.14786439|-0.05470405|-0.092644036|-0.1446411|-0.16404936|-0.06390265|0.10167222|-0.15785344|0.14088422|-0.109195426|-0.1726857|-0.16814803|0.22639169|0.15458332|0.12963519|-0.19686435|-0.14703442|0.15744686|0.1971203|0.18580219|-0.107109234|0.07361893|0.23479362|-0.1256282|-0.011526294|0.14088927|0.19981343|-0.09708483|0.039577357
11;-0.1682759|0.045791604|-0.16450252|-0.20942935|-0.025239028|0.18966672|-0.19569176|0.03131214|-0.18498637|0.029437494|0.15469725|-0.14517267|-0.19645642|0.1065589|-0.09403661|-0.21035908|0.1930224|-0.097721376|0.1659562|-0.1517075|-0.015251379|0.11841285|0.15097436|0.1318134|-0.1554739|0.103725724|0.017116362|0.11451906|-0.1455747|0.008783143|-0.114047155|-0.08818744|0.15830383|-0.15010068|-0.10446034|-0.066880286|0.12064879|-0.1655837|-0.2013797|0.14845654|-0.013211988|0.15079232|-0.11902122|-0.008218251|0.057470925|0.20407104|0.13908127|-0.14127074|-0.18805616|0.15157704|0.05919791|-0.19261011|-0.07219455|-0.13982858|-0.14417362|-0.021035492|0.082377374|-0.049918633|-0.16235371|-0.15935388|-0.22025023|0.13514878|-0.21301039|-0.110903844|0.122588724|-0.18152504|-0.11397086|-0.115991354|-0.1307151|0.12535506|-0.14271002|0.12537754|-0.062876105|-0.054484345|-0.16452087|-0.12636778|-0.061413735|0.14437085|-0.1721835|0.22192836|-0.15258785|-0.1370922|-0.1583111|0.1775351|0.16458409|0.15421683|-0.14906523|-0.17707194|0.18994355|0.14152682|0.1485948|-0.08670797|0.16524665|0.26928756|-0.14495665|-0.049194474|0.15244761|0.17825927|-0.15357767|0.06458548
12;-0.17244492|0.11575339|-0.10224149|-0.18829769|0.077288315|0.20590855|-0.20297036|0.062234905|-0.11909525|0.021447886|0.09216722|-0.17039682|-0.1652771|0.07140711|-0.08764914|-0.21158752|0.12757558|-0.15415803|0.17288241|-0.032937482|0.029052267|0.15485264|0.12122913|0.12074819|-0.17289406|0.17171605|-0.015778951|0.071774036|-0.09670552|0.11721558|-0.20482627|-0.11491746|0.112973265|-0.1834437|-0.1433594|0.028634854|0.08056417|-0.12690079|-0.21690793|0.041253746|-0.018280579|0.1443087|-0.17982116|0.054216564|0.1428483|0.16532348|0.17049435|-0.13963203|-0.18449967|0.1660268|0.11151006|-0.17743908|-0.077556424|-0.07891478|-0.14593571|-0.16219552|0.08510281|-0.0029923394|-0.15740077|-0.17319874|-0.1640597|0.15118745|-0.13338608|-0.16253449|0.08959452|-0.21911092|-0.19066319|-0.25927734|-0.2648688|0.11670066|-0.14112169|0.14409468|-0.044258866|-0.026825158|-0.13713093|-0.22666162|-0.21048808|0.043411594|-0.17806879|0.0739875|-0.20407806|-0.18643257|-0.16492927|0.12029877|0.057187796|0.20939067|-0.19523938|-0.2116183|0.19299687|0.18163241|0.19500989|-0.16437967|0.17867044|0.2147981|-0.21361825|-0.043513633|0.09687489|0.21826985|-0.062678054|0.12380993
13;-0.22287907|0.025958799|-0.077881634|-0.20229626|0.090105146|0.18352106|-0.17045037|-0.0063969223|-0.22202742|0.023204464|0.13333993|-0.19244146|-0.17283787|0.10433516|-0.16401012|-0.24275364|0.01710637|-0.14003953|0.22403553|-0.08224304|0.04623577|0.1068376|0.24767828|0.16790056|-0.14163104|0.09973907|0.02681048|0.051862635|-0.1992208|0.07331882|-0.113451265|-0.08886087|0.19111739|-0.24456765|-0.20124125|-0.039154988|0.030685894|-0.14365892|-0.22084166|0.066029534|-0.06438623|0.05443675|-0.105453216|0.062431484|0.10906513|0.23832266|0.114983104|-0.058733605|-0.18250218|0.1494399|0.17184833|-0.18450424|-0.087895244|-0.13864338|-0.12049765|-0.083849475|0.104552895|-0.042566698|-0.18383834|-0.15194565|-0.16919206|0.13135248|-0.13099325|-0.23356569|0.18079956|-0.22079304|-0.11672061|-0.22184056|-0.17858696|0.10007195|-0.14500237|0.16843718|-0.11890659|0.05303531|-0.1826646|-0.07580752|-0.065387376|0.10381587|-0.14940712|0.098077975|-0.14119323|-0.09510656|-0.16276065|0.16769825|0.10938956|0.1811252|-0.2160202|-0.16707157|0.12735501|0.18221082|0.17367156|-0.13595344|0.15964164|0.25660422|-0.20178352|0.008448862|0.21760932|0.1524918|-0.1101178|0.14113773
14;-0.28248352|0.02269753|-0.10993921|-0.23748398|0.01380625|0.277641|-0.15901169|0.060802054|-0.24938184|0.049228884|0.06571977|-0.11820852|-0.16079836|0.07748094|-0.17410389|-0.23564067|0.095288396|-0.12765911|0.29315996|-0.15906863|0.034135107|0.21502036|0.1848051|0.11732273|-0.19031501|0.15872872|0.063568324|0.10990174|-0.07644058|0.060064033|-0.15549867|-0.055683736|0.21437073|-0.20126393|-0.18752073|-0.017212156|0.051886648|-0.13885263|-0.22711916|0.16697708|-0.124014676|0.08217186|-0.23526305|0.03972988|0.21240222|0.23226616|0.16213539|-0.111655645|-0.22954921|0.12611303|0.16497102|-0.21193343|-0.09300074|-0.13379954|-0.14491796|-0.07194442|0.10815808|0.043753922|-0.23126149|-0.15595266|-0.31382555|0.2036346|-0.25109196|-0.27862385|0.22324952|-0.24559523|-0.13106474|-0.23991784|-0.21064737|0.1559923|-0.17162524|0.11733625|-0.15907106|-0.04269257|-0.24785209|-0.23687498|-0.2451483|0.018220589|-0.15049691|0.21333723|-0.2144544|-0.21408013|-0.17313953|0.21025762|0.17419304|0.11572183|-0.16710764|-0.20770535|0.18965763|0.23099022|0.17267953|-0.23664248|0.077858925|0.19972725|-0.22544612|-0.06346522|0.19504032|0.15533967|-0.17803007|0.117418736
15;-0.23594354|0.13674098|-0.055446677|-0.12447789|0.06972225|0.15138721|-0.15905109|0.030557092|-0.19134386|0.04565402|0.115394175|-0.20368269|-0.1717359|0.13285817|-0.09892651|-0.24227697|0.029107228|-0.07740731|0.11461118|-0.108203046|0.004483251|0.11122964|0.14163537|0.14056616|-0.1692728|0.13878527|0.0060590524|0.079723164|-0.13165994|0.07024776|-0.087281704|-0.036613047|0.1462483|-0.15849023|-0.14027415|-0.067455195|0.14270984|-0.15609089|-0.08256932|0.11647579|-0.017085241|0.13330933|-0.15298422|0.11485607|0.13041243|0.17570028|0.17111304|-0.10889058|-0.03795053|0.07063991|0.15200052|-0.17182961|-0.032886095|-0.15659665|-0.15451321|-0.070321694|0.14565714|0.041996717|-0.1637889|-0.09188572|-0.18920575|0.085700765|-0.16395797|-0.13233028|0.05616715|-0.15545757|-0.19016615|-0.0763657|-0.17155103|0.19790241|-0.19175096|0.15365252|-0.117763184|-0.0073619224|-0.18546824|-0.11708508|-0.069444686|0.040513344|-0.108116515|0.1249551|-0.14678012|-0.14137925|-0.12449295|0.13682966|0.14851138|0.17824614|-0.10352204|-0.21738678|0.17680246|0.25976032|0.17897657|-0.12278606|0.13282582|0.23381303|-0.16117798|-0.059543695|0.15407981|0.1551915|-0.10708203|0.113007694
16;-0.20282494|0.031114351|-0.12132654|-0.2181953|0.033402372|0.18503194|-0.1790095|0.031668648|-0.21484284|0.08972128|0.15504734|-0.07065773|-0.24323295|0.16958135|-0.08782151|-0.18339205|0.09445222|-0.08312001|0.1700102|-0.04657114|-0.0137115605|0.16961025|0.16495238|0.173785|-0.16238642|0.16149625|0.03987315|0.11200331|-0.09792274|0.06898301|-0.20224856|-0.03872082|0.23373166|-0.14637695|-0.18892717|-0.062139045|0.058380324|-0.1496306|-0.21111318|0.13557205|-0.08745905|0.15630041|-0.113917954|-0.018667705|0.13467914|0.22836852|0.22556497|-0.1609227|-0.13600539|0.13056669|0.10715693|-0.13984469|-0.16282144|-0.18988407|-0.116989315|-0.011820234|0.17583586|0.0670095|-0.19932032|-0.13816985|-0.097413115|0.06484478|-0.1741752|-0.15479982|0.11948841|-0.19166997|-0.12478439|-0.19959405|-0.20486133|0.080241226|-0.2437199|0.15512025|-0.064233616|-0.028475098|-0.12437674|-0.1891788|-0.095004946|0.13890122|-0.16493216|0.12450802|-0.11717933|-0.16567752|-0.1430878|0.16301624|0.18920384|0.15762015|-0.20880592|-0.2098743|0.14026803|0.24622817|0.18993443|-0.14849354|0.10447187|0.17348713|-0.16230401|0.0018631816|0.110286236|0.13416085|-0.16973063|0.05321358
17;-0.24203819|0.10470537|-0.07426816|-0.17754039|0.10668671|0.15206555|-0.17395172|0.012123038|-0.12924434|0.046319697|0.1660054|-0.13520277|-0.21018095|0.14161153|-0.15362695|-0.18962526|0.11185246|-0.077336304|0.27098763|-0.13555425|-0.04210831|0.18302247|0.16188784|0.11348826|-0.06672236|0.13508826|-0.02456194|0.14154601|-0.19654432|0.0049663633|-0.16139956|-0.029300459|0.16682851|-0.10016106|-0.17546429|0.0132807605|0.04772656|-0.0930698|-0.15828204|0.16697256|-0.05028542|0.1623654|-0.18003775|0.07213774|0.107764356|0.15138519|0.18441081|-0.08906029|-0.08597736|0.13719338|0.04686518|-0.14840849|-0.08001309|-0.10365054|-0.19218847|-0.07675514|0.12292134|0.05549113|-0.15169029|-0.19996785|-0.2081365|0.09323788|-0.1789439|-0.17808984|0.13962871|-0.24289615|-0.19319834|-0.22279245|-0.19688666|0.13848934|-0.22140543|0.13576224|-0.10634638|-0.05183617|-0.15917403|-0.11803891|-0.14946964|0.13223211|-0.20487277|0.11686244|-0.1949758|-0.08912454|-0.16053902|0.13211772|0.17548873|0.16357017|-0.17603773|-0.20885593|0.19693527|0.22344169|0.16756043|-0.1404295|0.15196435|0.20206712|-0.206182|-0.02840145|0.10365079|0.18484813|-0.096409544|0.18429428
18;-0.25466385|0.028716594|-0.10878729|-0.19147694|0.10146804|0.22035593|-0.16108286|-0.056912314|-0.117865756|0.09167509|0.06006372|-0.15118457|-0.17754702|0.049376458|-0.09561297|-0.21573678|0.11155777|-0.12665637|0.24333023|-0.112166196|0.07678755|0.2353766|0.17752962|0.12080184|-0.07146197|0.16486742|0.0030289767|0.14376466|-0.20795724|0.009521402|-0.12474698|-0.07734032|0.238734|-0.25366652|-0.16010979|0.014666278|0.08629842|-0.14757992|-0.17960533|0.106829144|-0.07674538|0.1042542|-0.1504803|0.093871996|0.091181345|0.24816525|0.20901302|-0.10564526|-0.19300736|0.12385523|0.1541895|-0.11445515|-0.16097996|-0.1732352|-0.18301673|-0.0980186|0.15334278|-0.028959583|-0.16661191|-0.24656044|-0.26372084|0.103734896|-0.21784101|-0.23704335|0.15398148|-0.15260576|-0.19744669|-0.15277499|-0.1491118|0.15505631|-0.27320337|0.14824031|-0.04088403|0.05085271|-0.096179925|-0.10641697|-0.084303886|-0.0077831224|-0.06653779|0.19553326|-0.21815282|-0.19147226|-0.13035832|0.16831844|0.18847947|0.22573975|-0.0954397|-0.25654903|0.123023696|0.2671226|0.12020628|-0.13658778|0.16107993|0.19349988|-0.12215827|-0.07070814|0.11611161|0.22016823|-0.027304769|0.14868979
19;-0.18374199|0.07779954|-0.08329534|-0.20288663|0.0797724|0.19889918|-0.22071882|0.032897186|-0.19074513|0.065109454|0.09907574|-0.123508334|-0.21240109|0.19012758|-0.07655828|-0.20700277|0.15989783|-0.19327326|0.20192696|-0.08142196|0.09137027|0.11468116|0.17514503|0.1488856|-0.07009705|0.15183508|0.05539611|0.14435329|-0.13069586|0.07522182|-0.18028578|-0.13224065|0.2104182|-0.19270448|-0.17403385|-0.018329501|0.07908276|-0.08899769|-0.119470045|0.11496239|-0.019543713|0.08613944|-0.07400344|0.045684338|0.18764149|0.20819502|0.20175241|-0.07758128|-0.13797393|0.13504453|0.13179679|-0.18262906|-0.12797825|-0.13831551|-0.18142739|-0.022900302|0.12381002|0.074874416|-0.22773528|-0.15660337|-0.21950962|0.11236277|-0.17065415|-0.13533577|0.11795555|-0.18403703|-0.19011264|-0.23540558|-0.15765485|0.07738123|-0.13230532|0.10032279|-0.05846992|-0.0034437813|-0.15980247|-0.11313516|-0.15120915|0.15970942|-0.16412172|0.19181491|-0.16563931|-0.18953164|-0.15012033|0.1530275|0.118466206|0.21886149|-0.17792219|-0.26361614|0.17693345|0.28847665|0.19449028|-0.23602396|0.17941912|0.22690514|-0.13745804|0.03305063|0.17761049|0.13245425|-0.14426652|0.095917985
20;-0.1972366|0.045273896|-0.0975734|-0.14240411|0.032173067|0.19413455|-0.13307676|-0.06160007|-0.21391293|0.09899534|0.11152664|-0.20337562|-0.23949438|0.047285512|-0.14407699|-0.1583809|0.16262811|-0.10964139|0.16142532|-0.13911907|-0.014503203|0.18478057|0.11312942|0.092901826|-0.21680832|0.12807947|-0.047063794|0.07890336|-0.1315709|0.06462944|-0.21702102|-0.04259378|0.23218587|-0.24412191|-0.1487138|0.026210215|0.08464351|-0.09450981|-0.21025957|0.048234157|-0.12938674|0.10736247|-0.12838206|0.009396374|0.15314084|0.15955976|0.19572651|-0.072371215|-0.13375401|0.2207903|0.17008902|-0.18263781|-0.055923074|-0.109522104|-0.13821974|-0.038098626|0.15345997|0.043739595|-0.22752815|-0.19603306|-0.14330058|0.14307907|-0.123743966|-0.12490378|0.0608446|-0.16320053|-0.1853372|-0.15301919|-0.12774086|0.1585183|-0.14192194|0.14622703|-0.07158087|-0.04013268|-0.20678777|-0.12145355|-0.110285655|0.13932785|-0.12838764|0.07789657|-0.13186266|-0.22201738|-0.10779886|0.15111989|0.15560018|0.16393118|-0.18802023|-0.16615617|0.1301321|0.2477082|0.12298288|-0.113840386|0.17230813|0.20270054|-0.16528511|-0.074576795|0.13971908|0.18180226|-0.13912693|0.15008274
